This file contains the adiabatic coefficient (kappa, delad), heat capacity and entropy per unit mass for a water, hydrogen and helium mixture, pre-tabulated for temperature and pressure. This file can be used in HELIOS.
temp.[K]  press.[1e-6bar]  delad           c_p[erg mol^-1 K^-1]    log_S[log10(erg g^-1 K^-1)]   
50        7.117853e+06     2.291491e-01    4.387468e+08            7.828780e+00                  
50        8.307361e+06     2.251384e-01    4.680978e+08            7.823062e+00                  
50        9.695656e+06     2.297035e-01    4.452689e+08            7.824417e+00                  
50        1.131596e+07     2.268170e-01    4.727866e+08            7.818538e+00                  
50        1.320704e+07     2.217557e-01    5.166571e+08            7.812233e+00                  
50        1.541415e+07     2.274622e-01    4.853097e+08            7.813500e+00                  
50        1.799010e+07     2.236458e-01    5.286852e+08            7.806922e+00                  
50        2.099654e+07     2.276184e-01    5.049525e+08            7.807900e+00                  
50        2.450540e+07     2.244486e-01    5.527768e+08            7.800933e+00                  
50        2.860065e+07     2.187650e-01    6.313799e+08            7.793174e+00                  
50        3.338028e+07     2.246581e-01    5.901428e+08            7.794142e+00                  
50        3.895866e+07     2.196173e-01    6.833951e+08            7.785644e+00                  
50        4.546928e+07     2.244492e-01    6.458382e+08            7.786337e+00                  
50        5.306794e+07     2.194639e-01    7.692838e+08            7.776738e+00                  
50        6.193645e+07     2.237593e-01    7.310771e+08            7.777162e+00                  
50        7.228703e+07     2.181233e-01    9.166750e+08            7.765825e+00                  
50        8.436737e+07     2.221867e-01    8.716150e+08            7.765974e+00                  
50        9.846652e+07     2.145058e-01    1.211405e+09            7.751568e+00                  
50        1.149219e+08     2.185206e-01    1.139987e+09            7.751478e+00                  
50        1.341272e+08     2.205266e-01    1.110331e+09            7.750660e+00                  
50        1.565420e+08     2.087343e-01    1.856586e+09            7.730268e+00                  
50        1.827027e+08     2.102409e-01    1.736519e+09            7.729331e+00                  
50        2.132353e+08     2.100740e-01    1.669601e+09            7.727639e+00                  
50        2.488703e+08     1.774267e-01    4.437193e+09            7.691163e+00                  
50        2.904606e+08     8.808225e-02    3.262750e+09            7.627168e+00                  
50        3.390013e+08     6.614704e-02    1.796066e+09            7.611560e+00                  
50        3.956539e+08     5.918446e-02    1.411583e+09            7.602516e+00                  
50        4.617741e+08     5.635230e-02    1.220122e+09            7.595457e+00                  
50        5.389440e+08     5.545006e-02    1.102188e+09            7.589309e+00                  
50        6.290102e+08     5.564941e-02    1.020182e+09            7.583637e+00                  
50        7.341280e+08     5.657294e-02    9.586971e+08            7.578221e+00                  
50        8.568127e+08     5.802517e-02    9.102639e+08            7.572930e+00                  
50        1.000000e+09     5.989223e-02    8.707725e+08            7.567676e+00                  
69.7987   1.000000e-01     2.493704e-01    3.334151e+08            8.132165e+00                  
69.7987   1.167116e-01     2.493703e-01    3.334154e+08            8.129874e+00                  
69.7987   1.362160e-01     2.493701e-01    3.334156e+08            8.127571e+00                  
69.7987   1.589799e-01     2.493700e-01    3.334160e+08            8.125256e+00                  
69.7987   1.855480e-01     2.493698e-01    3.334164e+08            8.122928e+00                  
69.7987   2.165561e-01     2.493696e-01    3.334168e+08            8.120588e+00                  
69.7987   2.527462e-01     2.493693e-01    3.334174e+08            8.118235e+00                  
69.7987   2.949841e-01     2.492454e-01    3.335823e+08            8.121973e+00                  
69.7987   3.442808e-01     2.492453e-01    3.335826e+08            8.119628e+00                  
69.7987   4.018156e-01     2.492452e-01    3.335829e+08            8.117270e+00                  
69.7987   4.689655e-01     2.492450e-01    3.335832e+08            8.114899e+00                  
69.7987   5.473373e-01     2.492449e-01    3.335836e+08            8.112515e+00                  
69.7987   6.388062e-01     2.492447e-01    3.335840e+08            8.110118e+00                  
69.7987   7.455611e-01     2.492444e-01    3.335846e+08            8.107707e+00                  
69.7987   8.701564e-01     2.492441e-01    3.335852e+08            8.105283e+00                  
69.7987   1.015574e+00     2.492438e-01    3.335860e+08            8.102846e+00                  
69.7987   1.185292e+00     2.492434e-01    3.335868e+08            8.100395e+00                  
69.7987   1.383374e+00     2.492430e-01    3.335878e+08            8.097930e+00                  
69.7987   1.614558e+00     2.492424e-01    3.335890e+08            8.095450e+00                  
69.7987   1.884377e+00     2.492418e-01    3.335904e+08            8.092957e+00                  
69.7987   2.199287e+00     2.492411e-01    3.335921e+08            8.090449e+00                  
69.7987   2.566823e+00     2.492402e-01    3.335940e+08            8.087927e+00                  
69.7987   2.995781e+00     2.492392e-01    3.335963e+08            8.085389e+00                  
69.7987   3.496425e+00     2.492379e-01    3.335991e+08            8.082837e+00                  
69.7987   4.080734e+00     2.492363e-01    3.336025e+08            8.080270e+00                  
69.7987   4.762690e+00     2.492344e-01    3.336066e+08            8.077688e+00                  
69.7987   5.558613e+00     2.492320e-01    3.336117e+08            8.075090e+00                  
69.7987   6.487547e+00     2.490501e-01    3.338489e+08            8.078612e+00                  
69.7987   7.571721e+00     2.490492e-01    3.338511e+08            8.076020e+00                  
69.7987   8.837079e+00     2.490481e-01    3.338537e+08            8.073412e+00                  
69.7987   1.031390e+01     2.490468e-01    3.338567e+08            8.070788e+00                  
69.7987   1.203752e+01     2.490453e-01    3.338602e+08            8.068148e+00                  
69.7987   1.404918e+01     2.490435e-01    3.338643e+08            8.065493e+00                  
69.7987   1.639703e+01     2.490414e-01    3.338692e+08            8.062820e+00                  
69.7987   1.913724e+01     2.490388e-01    3.338751e+08            8.060132e+00                  
69.7987   2.233538e+01     2.490358e-01    3.338820e+08            8.057426e+00                  
69.7987   2.606798e+01     2.490321e-01    3.338904e+08            8.054704e+00                  
69.7987   3.042436e+01     2.490276e-01    3.339005e+08            8.051964e+00                  
69.7987   3.550877e+01     2.490219e-01    3.339130e+08            8.049207e+00                  
69.7987   4.144285e+01     2.490148e-01    3.339286e+08            8.046432e+00                  
69.7987   4.836863e+01     2.490055e-01    3.339483e+08            8.043640e+00                  
69.7987   5.645181e+01     2.489933e-01    3.339738e+08            8.040829e+00                  
69.7987   6.588582e+01     2.489767e-01    3.340075e+08            8.038000e+00                  
69.7987   7.689641e+01     2.487475e-01    3.342807e+08            8.041289e+00                  
69.7987   8.974704e+01     2.487426e-01    3.342925e+08            8.038463e+00                  
69.7987   1.047452e+02     2.487368e-01    3.343066e+08            8.035619e+00                  
69.7987   1.222498e+02     2.487298e-01    3.343233e+08            8.032755e+00                  
69.7987   1.426798e+02     2.487214e-01    3.343433e+08            8.029873e+00                  
69.7987   1.665239e+02     2.487112e-01    3.343674e+08            8.026971e+00                  
69.7987   1.943527e+02     2.486985e-01    3.343967e+08            8.024050e+00                  
69.7987   2.268322e+02     2.486825e-01    3.344330e+08            8.021108e+00                  
69.7987   2.647395e+02     2.486621e-01    3.344785e+08            8.018147e+00                  
69.7987   3.089818e+02     2.486354e-01    3.345365e+08            8.015165e+00                  
69.7987   3.606177e+02     2.485998e-01    3.346122e+08            8.012162e+00                  
69.7987   4.208827e+02     2.485509e-01    3.347131e+08            8.009138e+00                  
69.7987   4.912190e+02     2.484825e-01    3.348509e+08            8.006092e+00                  
69.7987   5.733097e+02     2.483845e-01    3.350437e+08            8.003025e+00                  
69.7987   6.691190e+02     2.482689e-01    3.350357e+08            8.006095e+00                  
69.7987   7.809396e+02     2.482472e-01    3.350895e+08            8.003029e+00                  
69.7987   9.114473e+02     2.482207e-01    3.351545e+08            7.999940e+00                  
69.7987   1.063765e+03     2.481878e-01    3.352338e+08            7.996829e+00                  
69.7987   1.241537e+03     2.481463e-01    3.353319e+08            7.993695e+00                  
69.7987   1.449018e+03     2.480928e-01    3.354551e+08            7.990538e+00                  
69.7987   1.691173e+03     2.480225e-01    3.356130e+08            7.987358e+00                  
69.7987   1.973795e+03     2.479279e-01    3.358195e+08            7.984153e+00                  
69.7987   2.303648e+03     2.477975e-01    3.360958e+08            7.980924e+00                  
69.7987   2.688625e+03     2.476137e-01    3.364744e+08            7.977669e+00                  
69.7987   3.137938e+03     2.473492e-01    3.370058e+08            7.974388e+00                  
69.7987   3.662338e+03     2.469614e-01    3.377680e+08            7.971080e+00                  
69.7987   4.274374e+03     2.474871e-01    3.364659e+08            7.973942e+00                  
69.7987   4.988691e+03     2.474104e-01    3.366615e+08            7.970635e+00                  
69.7987   5.822382e+03     2.473136e-01    3.369028e+08            7.967302e+00                  
69.7987   6.795396e+03     2.471891e-01    3.372053e+08            7.963942e+00                  
69.7987   7.931017e+03     2.470254e-01    3.375915e+08            7.960554e+00                  
69.7987   9.256418e+03     2.468053e-01    3.380949e+08            7.957137e+00                  
69.7987   1.080332e+04     2.465024e-01    3.387661e+08            7.953691e+00                  
69.7987   1.260872e+04     2.460764e-01    3.396826e+08            7.950215e+00                  
69.7987   1.471585e+04     2.454650e-01    3.409640e+08            7.946706e+00                  
